,LOCATION_circulation,ADDRESS_circulation,CITY_circulation,ZIP,JANUARY_circulation,FEBRUARY_circulation,MARCH_circulation,APRIL_circulation,MAY_circulation,JUNE_circulation,JULY_circulation,AUGUST_circulation,SEPTEMBER_circulation,OCTOBER_circulation,NOVEMBER_circulation,DECEMBER_circulation,YTD_circulation,LOCATION_visitors,ADDRESS_visitors,CITY_visitors,JANUARY_visitors,FEBRUARY_visitors,MARCH_visitors,APRIL_visitors,MAY_visitors,JUNE_visitors,JULY_visitors,AUGUST_visitors,SEPTEMBER_visitors,OCTOBER_visitors,NOVEMBER_visitors,DECEMBER_visitors,YTD_visitors
39,Vodak-East Side,3710 E. 106th St.,Chicago,60617,2715,2577,2948,2581,2480,2536,2907,2621,2293,2911,2254,1208,30031,Vodak-East Side,3710 E. 106th St.,Chicago,4782.0,5306.0,5703.0,4964.0,4831.0,4973.0,6037.0,4992.0,4643.0,6519.0,4837.0,2900.0,60487.0
40,Back of the Yards,2111 W. 47th St.,Chicago,60609,2156,1856,2091,2593,1837,1772,2412,2393,1820,2286,1534,1715,24465,Back of the Yards,2111 W. 47th St.,Chicago,3382.0,3235.0,3990.0,3864.0,4310.0,3670.0,4447.0,4243.0,3801.0,4173.0,3007.0,2867.0,44989.0
41,Back of the Yards,2111 W. 47th St.,Chicago,60609,2156,1856,2091,2593,1837,1772,2412,2393,1820,2286,1534,1715,24465,Canaryville,642 W. 43rd St.,Chicago,2614.0,2956.0,3515.0,3195.0,3186.0,3617.0,3931.0,3467.0,3130.0,3435.0,3129.0,2748.0,38923.0
42,Back of the Yards,2111 W. 47th St.,Chicago,60609,2156,1856,2091,2593,1837,1772,2412,2393,1820,2286,1534,1715,24465,Chicago Bee,3647 S. State St.,Chicago,1585.0,1742.0,1957.0,2287.0,2114.0,2335.0,2184.0,1920.0,1720.0,2296.0,1925.0,1643.0,23708.0
43,Back of the Yards,2111 W. 47th St.,Chicago,60609,2156,1856,2091,2593,1837,1772,2412,2393,1820,2286,1534,1715,24465,McKinley Park,1915 W. 35th St.,Chicago,7154.0,8242.0,8220.0,8226.0,7968.0,9138.0,10614.0,8844.0,7834.0,8637.0,7739.0,6630.0,99246.0
44,Back of the Yards,2111 W. 47th St.,Chicago,60609,2156,1856,2091,2593,1837,1772,2412,2393,1820,2286,1534,1715,24465,Sherman Park,5440 S. Racine Ave.,Chicago,3089.0,3028.0,3313.0,3416.0,3445.0,3356.0,4989.0,4646.0,3469.0,4224.0,3209.0,2044.0,42228.0
45,Canaryville,642 W. 43rd St.,Chicago,60609,1617,1426,1735,1527,1562,1646,1793,1845,1612,1933,1749,1666,20111,Back of the Yards,2111 W. 47th St.,Chicago,3382.0,3235.0,3990.0,3864.0,4310.0,3670.0,4447.0,4243.0,3801.0,4173.0,3007.0,2867.0,44989.0
46,Canaryville,642 W. 43rd St.,Chicago,60609,1617,1426,1735,1527,1562,1646,1793,1845,1612,1933,1749,1666,20111,Canaryville,642 W. 43rd St.,Chicago,2614.0,2956.0,3515.0,3195.0,3186.0,3617.0,3931.0,3467.0,3130.0,3435.0,3129.0,2748.0,38923.0
47,Canaryville,642 W. 43rd St.,Chicago,60609,1617,1426,1735,1527,1562,1646,1793,1845,1612,1933,1749,1666,20111,Chicago Bee,3647 S. State St.,Chicago,1585.0,1742.0,1957.0,2287.0,2114.0,2335.0,2184.0,1920.0,1720.0,2296.0,1925.0,1643.0,23708.0
48,Canaryville,642 W. 43rd St.,Chicago,60609,1617,1426,1735,1527,1562,1646,1793,1845,1612,1933,1749,1666,20111,McKinley Park,1915 W. 35th St.,Chicago,7154.0,8242.0,8220.0,8226.0,7968.0,9138.0,10614.0,8844.0,7834.0,8637.0,7739.0,6630.0,99246.0
49,Canaryville,642 W. 43rd St.,Chicago,60609,1617,1426,1735,1527,1562,1646,1793,1845,1612,1933,1749,1666,20111,Sherman Park,5440 S. Racine Ave.,Chicago,3089.0,3028.0,3313.0,3416.0,3445.0,3356.0,4989.0,4646.0,3469.0,4224.0,3209.0,2044.0,42228.0
50,Chicago Bee,3647 S. State St.,Chicago,60609,862,991,936,731,859,817,1076,1056,970,1068,802,757,10925,Back of the Yards,2111 W. 47th St.,Chicago,3382.0,3235.0,3990.0,3864.0,4310.0,3670.0,4447.0,4243.0,3801.0,4173.0,3007.0,2867.0,44989.0
51,Chicago Bee,3647 S. State St.,Chicago,60609,862,991,936,731,859,817,1076,1056,970,1068,802,757,10925,Canaryville,642 W. 43rd St.,Chicago,2614.0,2956.0,3515.0,3195.0,3186.0,3617.0,3931.0,3467.0,3130.0,3435.0,3129.0,2748.0,38923.0
52,Chicago Bee,3647 S. State St.,Chicago,60609,862,991,936,731,859,817,1076,1056,970,1068,802,757,10925,Chicago Bee,3647 S. State St.,Chicago,1585.0,1742.0,1957.0,2287.0,2114.0,2335.0,2184.0,1920.0,1720.0,2296.0,1925.0,1643.0,23708.0
53,Chicago Bee,3647 S. State St.,Chicago,60609,862,991,936,731,859,817,1076,1056,970,1068,802,757,10925,McKinley Park,1915 W. 35th St.,Chicago,7154.0,8242.0,8220.0,8226.0,7968.0,9138.0,10614.0,8844.0,7834.0,8637.0,7739.0,6630.0,99246.0
54,Chicago Bee,3647 S. State St.,Chicago,60609,862,991,936,731,859,817,1076,1056,970,1068,802,757,10925,Sherman Park,5440 S. Racine Ave.,Chicago,3089.0,3028.0,3313.0,3416.0,3445.0,3356.0,4989.0,4646.0,3469.0,4224.0,3209.0,2044.0,42228.0
55,McKinley Park,1915 W. 35th St.,Chicago,60609,4477,4649,5101,5260,4593,4902,5079,5105,4969,5266,4521,3960,57882,Back of the Yards,2111 W. 47th St.,Chicago,3382.0,3235.0,3990.0,3864.0,4310.0,3670.0,4447.0,4243.0,3801.0,4173.0,3007.0,2867.0,44989.0
56,McKinley Park,1915 W. 35th St.,Chicago,60609,4477,4649,5101,5260,4593,4902,5079,5105,4969,5266,4521,3960,57882,Canaryville,642 W. 43rd St.,Chicago,2614.0,2956.0,3515.0,3195.0,3186.0,3617.0,3931.0,3467.0,3130.0,3435.0,3129.0,2748.0,38923.0
57,McKinley Park,1915 W. 35th St.,Chicago,60609,4477,4649,5101,5260,4593,4902,5079,5105,4969,5266,4521,3960,57882,Chicago Bee,3647 S. State St.,Chicago,1585.0,1742.0,1957.0,2287.0,2114.0,2335.0,2184.0,1920.0,1720.0,2296.0,1925.0,1643.0,23708.0
58,McKinley Park,1915 W. 35th St.,Chicago,60609,4477,4649,5101,5260,4593,4902,5079,5105,4969,5266,4521,3960,57882,McKinley Park,1915 W. 35th St.,Chicago,7154.0,8242.0,8220.0,8226.0,7968.0,9138.0,10614.0,8844.0,7834.0,8637.0,7739.0,6630.0,99246.0
59,McKinley Park,1915 W. 35th St.,Chicago,60609,4477,4649,5101,5260,4593,4902,5079,5105,4969,5266,4521,3960,57882,Sherman Park,5440 S. Racine Ave.,Chicago,3089.0,3028.0,3313.0,3416.0,3445.0,3356.0,4989.0,4646.0,3469.0,4224.0,3209.0,2044.0,42228.0
60,Sherman Park,5440 S. Racine Ave.,Chicago,60609,589,593,540,595,584,483,743,696,548,691,515,427,7004,Back of the Yards,2111 W. 47th St.,Chicago,3382.0,3235.0,3990.0,3864.0,4310.0,3670.0,4447.0,4243.0,3801.0,4173.0,3007.0,2867.0,44989.0
61,Sherman Park,5440 S. Racine Ave.,Chicago,60609,589,593,540,595,584,483,743,696,548,691,515,427,7004,Canaryville,642 W. 43rd St.,Chicago,2614.0,2956.0,3515.0,3195.0,3186.0,3617.0,3931.0,3467.0,3130.0,3435.0,3129.0,2748.0,38923.0
62,Sherman Park,5440 S. Racine Ave.,Chicago,60609,589,593,540,595,584,483,743,696,548,691,515,427,7004,Chicago Bee,3647 S. State St.,Chicago,1585.0,1742.0,1957.0,2287.0,2114.0,2335.0,2184.0,1920.0,1720.0,2296.0,1925.0,1643.0,23708.0
63,Sherman Park,5440 S. Racine Ave.,Chicago,60609,589,593,540,595,584,483,743,696,548,691,515,427,7004,McKinley Park,1915 W. 35th St.,Chicago,7154.0,8242.0,8220.0,8226.0,7968.0,9138.0,10614.0,8844.0,7834.0,8637.0,7739.0,6630.0,99246.0
64,Sherman Park,5440 S. Racine Ave.,Chicago,60609,589,593,540,595,584,483,743,696,548,691,515,427,7004,Sherman Park,5440 S. Racine Ave.,Chicago,3089.0,3028.0,3313.0,3416.0,3445.0,3356.0,4989.0,4646.0,3469.0,4224.0,3209.0,2044.0,42228.0
65,Beverly,1962 W. 95th St.,Chicago,60643,3937,4035,4177,3974,3769,4180,4425,4651,4013,4660,3980,3350,49151,Beverly,1962 W. 95th St.,Chicago,5727.0,6496.0,6627.0,6492.0,7135.0,6496.0,6890.0,6275.0,6777.0,7333.0,6761.0,3327.0,76336.0
66,Beverly,1962 W. 95th St.,Chicago,60643,3937,4035,4177,3974,3769,4180,4425,4651,4013,4660,3980,3350,49151,Walker,11071 S. Hoyne Ave.,Chicago,2885.0,2896.0,3418.0,3325.0,3725.0,4001.0,3941.0,3563.0,3268.0,1731.0,0.0,0.0,32753.0
67,Beverly,1962 W. 95th St.,Chicago,60643,3937,4035,4177,3974,3769,4180,4425,4651,4013,4660,3980,3350,49151,West Pullman,830 W. 119th St.,Chicago,7373.0,8225.0,8535.0,9508.0,7508.0,6100.0,7248.0,7048.0,6296.0,6924.0,6154.0,6789.0,87708.0
68,Walker,11071 S. Hoyne Ave.,Chicago,60643,1385,1481,1480,1381,1451,1697,2011,2080,1597,1115,54,773,16505,Beverly,1962 W. 95th St.,Chicago,5727.0,6496.0,6627.0,6492.0,7135.0,6496.0,6890.0,6275.0,6777.0,7333.0,6761.0,3327.0,76336.0
69,Walker,11071 S. Hoyne Ave.,Chicago,60643,1385,1481,1480,1381,1451,1697,2011,2080,1597,1115,54,773,16505,Walker,11071 S. Hoyne Ave.,Chicago,2885.0,2896.0,3418.0,3325.0,3725.0,4001.0,3941.0,3563.0,3268.0,1731.0,0.0,0.0,32753.0
70,Walker,11071 S. Hoyne Ave.,Chicago,60643,1385,1481,1480,1381,1451,1697,2011,2080,1597,1115,54,773,16505,West Pullman,830 W. 119th St.,Chicago,7373.0,8225.0,8535.0,9508.0,7508.0,6100.0,7248.0,7048.0,6296.0,6924.0,6154.0,6789.0,87708.0
71,West Pullman,830 W. 119th St.,Chicago,60643,1346,1439,1563,1343,1659,1656,1663,1630,1673,1422,1217,1212,17823,Beverly,1962 W. 95th St.,Chicago,5727.0,6496.0,6627.0,6492.0,7135.0,6496.0,6890.0,6275.0,6777.0,7333.0,6761.0,3327.0,76336.0
72,West Pullman,830 W. 119th St.,Chicago,60643,1346,1439,1563,1343,1659,1656,1663,1630,1673,1422,1217,1212,17823,Walker,11071 S. Hoyne Ave.,Chicago,2885.0,2896.0,3418.0,3325.0,3725.0,4001.0,3941.0,3563.0,3268.0,1731.0,0.0,0.0,32753.0
73,West Pullman,830 W. 119th St.,Chicago,60643,1346,1439,1563,1343,1659,1656,1663,1630,1673,1422,1217,1212,17823,West Pullman,830 W. 119th St.,Chicago,7373.0,8225.0,8535.0,9508.0,7508.0,6100.0,7248.0,7048.0,6296.0,6924.0,6154.0,6789.0,87708.0
74,Bezazian,1226 W. Ainslie St.,Chicago,60640,8524,7113,8426,8151,8319,7785,8873,9245,8064,8695,7625,7536,98356,Bezazian,1226 W. Ainslie St.,Chicago,9666.0,8634.0,9543.0,10704.0,10433.0,10540.0,11867.0,12265.0,9769.0,11981.0,9164.0,7005.0,121571.0
75,Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7981,7477,9197,8088,7609,9343,9804,9745,7941,8423,7648,6577,99833,Blackstone,4904 S. Lake Park Ave.,Chicago,7440.0,6986.0,8107.0,8534.0,7677.0,8143.0,9601.0,8850.0,7733.0,7779.0,7112.0,6396.0,94358.0
76,Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7981,7477,9197,8088,7609,9343,9804,9745,7941,8423,7648,6577,99833,Hall,4801 S. Michigan Ave.,Chicago,5040.0,7987.0,7226.0,5947.0,4439.0,5110.0,6350.0,5452.0,5026.0,5833.0,4891.0,4583.0,67884.0
77,Hall,4801 S. Michigan Ave.,Chicago,60615,1075,1028,1323,1207,1138,1382,1690,1651,1837,1573,1150,1131,16185,Blackstone,4904 S. Lake Park Ave.,Chicago,7440.0,6986.0,8107.0,8534.0,7677.0,8143.0,9601.0,8850.0,7733.0,7779.0,7112.0,6396.0,94358.0
78,Hall,4801 S. Michigan Ave.,Chicago,60615,1075,1028,1323,1207,1138,1382,1690,1651,1837,1573,1150,1131,16185,Hall,4801 S. Michigan Ave.,Chicago,5040.0,7987.0,7226.0,5947.0,4439.0,5110.0,6350.0,5452.0,5026.0,5833.0,4891.0,4583.0,67884.0
79,Brainerd,1350 W. 89th St.,Chicago,60620,677,623,649,837,878,969,720,850,897,841,659,604,9204,Brainerd,1350 W. 89th St.,Chicago,5057.0,6719.0,5235.0,6594.0,6380.0,7204.0,4534.0,4690.0,3680.0,4456.0,3039.0,2439.0,60027.0
80,Brainerd,1350 W. 89th St.,Chicago,60620,677,623,649,837,878,969,720,850,897,841,659,604,9204,Thurgood Marshall,7506 S. Racine Ave.,Chicago,5148.0,5317.0,7870.0,3967.0,6344.0,6597.0,7460.0,7055.0,5982.0,10479.0,6336.0,5654.0,78209.0
81,Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,1845,1936,1730,1753,1868,1945,2108,1699,1595,1857,1508,1295,21139,Brainerd,1350 W. 89th St.,Chicago,5057.0,6719.0,5235.0,6594.0,6380.0,7204.0,4534.0,4690.0,3680.0,4456.0,3039.0,2439.0,60027.0
82,Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,1845,1936,1730,1753,1868,1945,2108,1699,1595,1857,1508,1295,21139,Thurgood Marshall,7506 S. Racine Ave.,Chicago,5148.0,5317.0,7870.0,3967.0,6344.0,6597.0,7460.0,7055.0,5982.0,10479.0,6336.0,5654.0,78209.0
83,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,8642,8309,9764,8341,8659,9859,10344,10569,9277,9444,8693,7519,109420,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,10961.0,10580.0,13487.0,10603.0,8590.0,10533.0,11950.0,11519.0,9416.0,10659.0,10384.0,9460.0,128142.0
