,LOCATION,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Type,Year
96,Chicago Bee,3647 S. State St.,Chicago,60609,1585,1742,1957,2287,2114,2335,2184,1920,1720,2296,1925,1643,23708,Visitors,2019
97,Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,5247,6273,5315,5792,5304,6077,7165,8598,4600,0,0,0,54371,Visitors,2019
98,Chinatown,2100 S. Wentworth Ave.,Chicago,60616,16716,21237,24670,22875,23898,22703,24518,26210,22446,24910,21183,20148,271514,Visitors,2019
99,Clearing,6423 W. 63rd Pl.,Chicago,60638,4283,5259,5385,5196,4787,4777,6062,5700,4742,185,1552,3740,51668,Visitors,2019
100,Coleman,731 E. 63rd St.,Chicago,60637,6123,6834,6745,7398,6891,6603,8386,7985,0,4517,6031,6884,74397,Visitors,2019
101,"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,4550,4650,5042,5536,5059,4988,5952,5590,4853,5618,4720,4105,60663,Visitors,2019
102,"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,9216,10480,10319,9572,8927,8959,9283,11059,8526,9535,8850,11435,116161,Visitors,2019
103,Douglass,3353 W. 13th St.,Chicago,60623,0,0,0,0,0,0,0,0,0,0,0,0,0,Visitors,2019
104,Dunning,7455 W. Cornelia Ave.,Chicago,60634,7777,8684,8650,8425,9254,9519,10353,9049,10065,8865,6802,6816,104259,Visitors,2019
105,Edgebrook,5331 W. Devon Ave.,Chicago,60646,7241,8130,8517,8361,7260,8955,9688,9171,7282,8610,7074,6716,97005,Visitors,2019
106,Edgewater,6000 N. Broadway St.,Chicago,60660,11504,17381,19171,20253,15847,16459,18370,17216,15906,17014,14596,13328,197045,Visitors,2019
107,Gage Park,2807 W. 55th St.,Chicago,60632,2111,1979,2000,2177,2185,2569,3111,2967,2435,3834,2256,2082,29706,Visitors,2019
108,Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,1597,1444,1725,2061,1722,1923,3067,1882,1510,1596,1129,807,20463,Visitors,2019
109,Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,4500,4904,5803,5559,5099,5850,7855,6865,5307,7239,6105,5042,70128,Visitors,2019
110,Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,4541,6664,7689,7662,7828,6828,4125,3715,6132,4111,4940,5763,69998,Visitors,2019
111,Hall,4801 S. Michigan Ave.,Chicago,60615,5040,7987,7226,5947,4439,5110,6350,5452,5026,5833,4891,4583,67884,Visitors,2019
112,Harold Washtington Library Center,400 S. State St.,Chicago,60605,103099,103013,121131,130849,114792,116673,119738,116332,107200,128546,102895,141696,1405964,Visitors,2019
113,Hegewisch,3048 E. 130th St.,Chicago,60633,3316,3462,3985,3766,3153,2999,3147,2971,2941,3366,2956,2685,38747,Visitors,2019
114,Humboldt Park,1605 N. Troy St.,Chicago,60647,5224,9661,7993,7773,6737,6220,6957,6630,5617,6141,5104,4489,78546,Visitors,2019
115,Independence,4024 N. Elston Ave.,Chicago,60618,1370,6593,7220,6917,5745,7940,7363,7810,6034,6929,6349,4782,75052,Visitors,2019
116,Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,3918,0,0,0,0,0,0,0,0,0,0,2190,6108,Visitors,2019
117,Jeffery Manor,2401 E. 100th St.,Chicago,60617,4733,6392,5537,5750,5473,5423,4722,4233,4210,4508,3242,3259,57482,Visitors,2019
118,Kelly,6151 S. Normal Blvd.,Chicago,60621,4435,4047,4547,4983,5075,5598,7550,6978,5805,6778,4742,4809,65347,Visitors,2019
119,King,3436 S. King Dr.,Chicago,60616,3695,4217,3618,3429,2261,2438,2503,2578,2107,2298,3362,2684,35190,Visitors,2019
120,Legler Regional,115 S. Pulaski Rd.,Chicago,60624,6386,6630,7195,6949,7489,4550,11452,11899,9477,0,0,0,72027,Visitors,2019
121,Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,11415,11059,13860,13440,12697,13591,15408,14672,12394,14886,12402,10364,156188,Visitors,2019
122,Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,9854,13476,14077,11767,9822,10961,12604,11804,10455,11912,10723,9969,137424,Visitors,2019
123,Little Italy,1336 W. Taylor St.,Chicago,60607,0,4816,11303,11381,11304,11502,12663,12261,10363,12198,10555,9705,118051,Visitors,2019
124,Little Village,2311 S. Kedzie Ave.,Chicago,60623,6716,7025,7467,7492,6809,5966,8116,7093,5779,7695,5774,4757,80689,Visitors,2019
125,Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10787,11189,12731,13085,12085,13409,15385,14070,12177,13592,11271,10749,150530,Visitors,2019
126,Lozano,1805 S. Loomis St.,Chicago,60608,10057,9935,10745,12061,9690,9632,10214,10118,9436,11858,10613,9009,123368,Visitors,2019
127,Manning,6 S. Hoyne Ave.,Chicago,60612,7361,7085,7814,7168,6320,6161,6978,6639,5923,8186,7512,7011,84158,Visitors,2019
128,Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,5148,5317,7870,3967,6344,6597,7460,7055,5982,10479,6336,5654,78209,Visitors,2019
129,Mayfair,4400 W. Lawrence Ave.,Chicago,60630,3625,4111,4350,4369,3606,3835,3371,4187,3903,4320,3900,3570,47147,Visitors,2019
130,McKinley Park,1915 W. 35th St.,Chicago,60609,7154,8242,8220,8226,7968,9138,10614,8844,7834,8637,7739,6630,99246,Visitors,2019
131,Merlo,644 W. Belmont Ave.,Chicago,60657,8108,11525,0,0,0,0,0,0,0,0,0,0,19633,Visitors,2019
132,Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,4670,4966,4987,5070,5094,5670,6647,3999,2293,3048,2614,2217,51275,Visitors,2019
133,Near North,310 W. Division St.,Chicago,60610,10281,11897,11311,10963,10209,11213,12401,11582,10023,11624,9205,9447,130156,Visitors,2019
134,North Austin,5724 W. North Ave.,Chicago,60639,3163,2591,2364,3658,3457,3369,4244,4556,3488,4209,3419,3439,41957,Visitors,2019
135,North Pulaski,4300 W. North Ave.,Chicago,60639,3324,4141,5013,3923,3875,3948,4404,5103,3372,4093,3590,2932,47718,Visitors,2019
136,Northtown,6800 N. Western Ave.,Chicago,60645,0,0,8377,10287,10443,10928,13805,13024,10819,12803,10329,3418,104233,Visitors,2019
137,Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,6053,7235,7352,6842,6241,6540,7478,6484,7282,7216,6509,6597,81829,Visitors,2019
138,Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,5687,7332,7091,3696,0,722,6029,5739,4948,3960,5244,4353,54801,Visitors,2019
139,Pullman,11001 S. Indiana Ave.,Chicago,60628,3919,3820,4214,4370,3626,3985,4783,4638,4086,4430,3803,3696,49370,Visitors,2019
140,Roden,6083 N. Northwest Hwy.,Chicago,60631,4319,11837,10835,6604,4550,5163,5669,5857,4441,5405,4277,1925,70882,Visitors,2019
141,Rogers Park,6907 N. Clark St.,Chicago,60626,14708,12762,11756,12728,12520,12630,14204,14437,11482,13277,11192,10366,152062,Visitors,2019
142,Scottsdale,4101 W. 79th St.,Chicago,60652,3407,3639,3388,4375,3744,3481,4237,3922,3503,4085,3692,3041,44514,Visitors,2019
143,Sherman Park,5440 S. Racine Ave.,Chicago,60609,3089,3028,3313,3416,3445,3356,4989,4646,3469,4224,3209,2044,42228,Visitors,2019
144,South Chicago,9055 S. Houston Ave.,Chicago,60617,6062,6279,7879,6299,6810,6856,6928,7793,7794,7790,6574,6029,83093,Visitors,2019
145,South Shore,2505 E. 73rd St.,Chicago,60649,5613,5077,0,0,0,0,0,0,0,0,0,0,10690,Visitors,2019
146,Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,24368,23998,32223,30983,37357,29641,33583,32266,29043,29043,30883,25256,358644,Visitors,2019
147,Toman,2708 S. Pulaski Rd.,Chicago,60623,6426,6954,7849,8025,6567,7071,10676,9234,7270,9047,5027,4428,88574,Visitors,2019
148,Uptown,929 W. Buena Ave.,Chicago,60613,2827,8495,11025,11894,12081,11212,12847,12931,11159,12083,10504,9632,126690,Visitors,2019
149,Vodak-East Side,3710 E. 106th St.,Chicago,60617,4782,5306,5703,4964,4831,4973,6037,4992,4643,6519,4837,2900,60487,Visitors,2019
150,Walker,11071 S. Hoyne Ave.,Chicago,60643,2885,2896,3418,3325,3725,4001,3941,3563,3268,1731,0,0,32753,Visitors,2019
151,West Belmont,3104 N. Narragansett Ave.,Chicago,60611,2099,6107,6601,6253,5345,5968,6061,5570,4909,5503,4104,3723,62243,Visitors,2019
152,West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60634,5513,5723,6113,5361,5921,1505,7290,7584,7329,8804,6452,6109,73704,Visitors,2019
153,West Englewood,1745 W. 63rd St.,Chicago,60651,5708,5481,5904,5717,5555,5780,6270,6818,5744,6739,4684,4843,69243,Visitors,2019
154,West Lawn,4020 W. 63rd St.,Chicago,60636,4032,4603,4727,5068,5002,5173,5857,7376,5870,6832,5152,5267,64959,Visitors,2019
155,West Loop,122 N. Aberdeen St.,Chicago,60607,3323,7748,7628,7529,6881,6892,7895,7753,6520,7804,7554,6442,83969,Visitors,2019
156,West Pullman,830 W. 119th St.,Chicago,60643,7373,8225,8535,9508,7508,6100,7248,7048,6296,6924,6154,6789,87708,Visitors,2019
157,West Town,1625 W. Chicago Ave.,Chicago,60622,7861,7916,8861,8380,7901,7270,11701,9935,8172,9223,8235,7371,102826,Visitors,2019
158,"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,6599,6897,5449,6937,6943,6596,7538,6312,7118,7608,6857,7169,82023,Visitors,2019
159,Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,15153,21771,22059,18687,16703,17239,18549,16946,17550,19223,15232,15061,214173,Visitors,2019
160,Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,3740,2742,3248,3925,3401,4020,4994,4567,4462,4802,3880,3572,47353,Visitors,2019
