,LOCATION,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Type,Year,BRANCH,Location
175,POINT (-87.61416 41.751132),415 East 79th St.,Chicago,60619,1781,1655,1094,0,0,403,840,767,867,833,826,644,9710,Circulation,2020,"Whitney M. Young, Jr.",
176,POINT (-87.600377 41.762277),1000 E. 73rd St.,Chicago,60619,1265,1021,768,0,0,424,624,509,592,524,395,617,6739,Circulation,2020,Greater Grand Crossing,
177,POINT (-87.724291 41.749388),4101 W. 79th St.,Chicago,60652,1890,1661,1246,0,1,658,1059,1051,1013,1164,960,947,11650,Circulation,2020,Scottsdale,
178,POINT (-87.602139 41.653968),13281 S. Corliss Ave.,Chicago,60827,360,271,148,0,0,0,0,0,23,1,141,165,1109,Circulation,2020,Altgeld,
179,POINT (-87.723756 41.778629),4020 W. 63rd St.,Chicago,60629,3340,2954,1835,0,0,897,1197,1345,1617,1535,1313,963,16996,Circulation,2020,West Lawn,
180,POINT (-87.677601 41.808523),2111 W. 47th St.,Chicago,60609,1889,1847,1541,0,0,570,798,818,1087,1026,857,718,11151,Circulation,2020,Back of the Yards,
181,POINT (-87.67344 42.006673),6907 N. Clark St.,Chicago,60626,8713,8311,5421,1,5,4386,7040,7083,7252,7167,3328,6867,65574,Circulation,2020,Rogers Park,
182,POINT (-87.780098 41.792854),6348 S. Archer Ave.,Chicago,60638,3964,3688,2942,0,0,1749,2711,2813,2934,2797,2528,2347,28473,Circulation,2020,Garfield Ridge,
183,POINT (-87.61733500000001 41.832238000000004),3436 S. King Dr.,Chicago,60616,2157,1770,1276,0,0,135,982,872,960,1057,876,1060,11145,Circulation,2020,King,
184,POINT (-87.623239 41.89761),163 E. Pearson Street,Chicago,60611,5122,4327,3085,0,0,0,0,0,0,0,0,0,12534,Circulation,2020,Water Works,
185,POINT (-87.706545 41.89433),733 N. Kedzie Ave.,Chicago,60612,2800,2600,1643,0,0,1213,1310,1656,1598,1640,1237,1268,16965,Circulation,2020,"Daley, Richard M.- W Humboldt",
186,POINT (-87.705655 41.910536),1605 N. Troy St.,Chicago,60647,4333,4248,3380,0,0,1815,2991,3186,3462,5922,3748,3161,36246,Circulation,2020,Humboldt Park,
187,POINT (-87.684637 41.962677),4455 N. Lincoln Ave.,Chicago,60625,30141,28385,19560,0,1,14566,22356,22163,22489,22846,22776,21181,226464,Circulation,2020,Sulzer Regional Library,
188,POINT (-87.590213 41.80762),4904 S. Lake Park Ave.,Chicago,60615,7975,7461,4281,0,0,4583,6324,5951,6350,6111,5961,5840,60837,Circulation,2020,Blackstone,
189,POINT (-87.768878 41.909401),5724 W. North Ave.,Chicago,60639,1072,869,573,0,0,410,647,703,796,705,682,636,7093,Circulation,2020,North Austin,
190,POINT (-87.668233 41.89606),1625 W. Chicago Ave.,Chicago,60622,4684,4537,3287,0,0,2582,3101,3382,3452,3847,3394,3269,35535,Circulation,2020,West Town,
191,POINT (-87.696439 41.983843),5630 N. Lincoln Ave.,Chicago,60659,7384,6714,4696,0,0,3109,5321,5578,5659,6165,5467,5534,55627,Circulation,2020,Budlong Woods,
192,POINT (-87.658126 41.925316),1150 W. Fullerton Ave.,Chicago,60614,12260,11556,7889,0,0,6265,9061,8792,8753,9925,8895,8669,92065,Circulation,2020,Lincoln Park,
193,POINT (-87.66821 41.779364),1745 W. 63rd St.,Chicago,60636,1050,905,557,0,0,191,261,347,369,362,337,242,4621,Circulation,2020,West Englewood,
194,POINT (-87.726723 41.801206),5055 S. Archer Ave.,Chicago,60632,3769,3498,2681,0,0,1398,2151,2103,2194,2365,1954,1816,23929,Circulation,2020,Archer Heights,
195,POINT (-87.548914 41.65915300000001),3048 E. 130th St.,Chicago,60633,2020,1334,1404,0,0,602,1052,1113,1195,1219,652,888,11479,Circulation,2020,Hegewisch,
196,POINT (-87.719889 41.954219),4024 N. Elston Ave.,Chicago,60618,6652,7177,3946,0,0,3919,6265,5913,5559,5734,5356,5173,55694,Circulation,2020,Independence,
197,POINT (-87.661298 41.857604),1805 S. Loomis St.,Chicago,60608,3456,2838,1732,2,0,1142,2019,2201,2296,2186,1783,1881,21536,Circulation,2020,Lozano,
198,POINT (-87.563672 41.762654),2505 E. 73rd St.,Chicago,60649,1,965,1088,0,0,643,851,876,977,1038,808,533,7780,Circulation,2020,South Shore,
199,POINT (-87.631794 41.854267),2100 S. Wentworth Ave.,Chicago,60616,6044,5774,3024,0,5,2783,3699,3788,3891,4285,3502,3539,40334,Circulation,2020,Chinatown,
200,POINT (-87.709792 41.864527),3353 W. 13th St.,Chicago,60623,1112,879,577,0,0,235,368,311,418,414,276,195,4785,Circulation,2020,Douglass,
201,POINT (-87.703483 41.924806),3030 W. Fullerton Ave.,Chicago,60647,11156,10359,7846,0,1,4824,9139,8789,7514,3,5421,6871,71923,Circulation,2020,Logan Square,
202,POINT (-87.798265 41.991862),6083 N. Northwest Hwy.,Chicago,60631,1518,4675,4110,0,0,3236,4845,2779,3830,4345,4095,3821,37254,Circulation,2020,Roden,
203,POINT (-87.79846800000001 41.921134),6871 W. Belden Ave.,Chicago,60707,732,628,345,0,0,0,0,0,0,0,0,0,1705,Circulation,2020,Galewood-Mont Clare,
204,POINT (-87.785858 41.936833),3104 N. Narragansett Ave.,Chicago,60634,4697,4840,4026,0,11,1249,2989,2957,3032,3390,3049,2782,33022,Circulation,2020,West Belmont,
205,POINT (-87.680298 41.912224),1701 N. Milwaukee Ave.,Chicago,60647,9696,9222,6361,0,0,4494,6914,7265,7067,9118,7314,7422,74873,Circulation,2020,Bucktown-Wicker Park,
206,POINT (-87.733923 41.909856),4300 W. North Ave.,Chicago,60639,1733,1962,954,0,0,722,846,999,1102,1294,963,690,11265,Circulation,2020,North Pulaski,
207,POINT (-87.67345 41.830421),1915 W. 35th St.,Chicago,60609,4750,4363,3334,0,0,2296,3279,2914,2705,2790,2562,2022,31015,Circulation,2020,McKinley Park,
208,POINT (-87.64332700000001 41.677819),830 W. 119th St.,Chicago,60643,1449,1491,1083,0,0,344,678,790,842,739,703,649,8768,Circulation,2020,West Pullman,
209,POINT (-87.672288 41.721148),1962 W. 95th St.,Chicago,60643,3746,3822,3017,0,0,1937,2928,2817,2940,2793,2824,2349,29173,Circulation,2020,Beverly,
210,POINT (-87.725593 41.879302),115 S. Pulaski Rd.,Chicago,60624,0,0,0,0,0,0,0,0,0,1,23,221,245,Circulation,2020,Legler Regional,
211,POINT (-87.724477 41.842073),2708 S. Pulaski Rd.,Chicago,60623,4410,3785,3086,0,0,1239,2000,1602,1921,2100,1959,1679,23781,Circulation,2020,Toman,
212,POINT (-87.766942 41.889281),5615 W. Race Ave.,Chicago,60644,1315,1235,809,0,0,452,730,920,944,782,639,566,8392,Circulation,2020,Austin,
213,POINT (-87.70209 41.738313),8530 S. Kedzie Ave.,Chicago,60652,1313,1244,1016,0,0,512,764,674,760,947,645,721,8596,Circulation,2020,Wrightwood-Ashburn,
214,POINT (-87.761964 41.967648),5363 W. Lawrence Ave.,Chicago,60630,6161,5460,4235,0,2,3067,4073,3099,3574,4299,4109,3663,41742,Circulation,2020,Jefferson Park,
215,POINT (-87.738158 41.96815),4400 W. Lawrence Ave.,Chicago,60630,2929,2892,2079,0,0,1547,2408,2419,2662,2654,2626,2230,24446,Circulation,2020,Mayfair,
216,POINT (-87.549849 41.730371),9055 S. Houston Ave.,Chicago,60617,1667,1234,804,0,0,342,534,709,790,885,577,6,7548,Circulation,2020,South Chicago,
217,POINT (-87.782282 41.7768),6423 W. 63rd Pl.,Chicago,60638,2242,2139,1754,0,0,1109,1686,1626,1866,1686,1437,1407,16952,Circulation,2020,Clearing,
218,POINT (-87.646055 41.940054),644 W. Belmont Ave.,Chicago,60657,0,0,0,0,0,36,5627,6722,7177,7703,7005,6881,41151,Circulation,2020,Merlo,
219,POINT (-87.654217 41.95846),929 W. Buena Ave.,Chicago,60613,7877,7308,5655,0,0,4160,6301,5730,5915,6060,5055,5446,59507,Circulation,2020,Uptown,
220,POINT (-87.703231 41.781967),6120 S. Kedzie Ave.,Chicago,60629,2161,2506,1774,0,1,854,1321,1641,1278,1163,1271,1110,15080,Circulation,2020,Chicago Lawn,
221,POINT (-87.627695 41.876301),400 S. State Street,Chicago,60605,48585,42078,31090,275,245,16445,22446,23210,24061,24382,23071,20990,276878,Circulation,2020,Harold Washington Library Center,
222,POINT (-87.703067 41.814848),4314 S. Archer Ave.,Chicago,60632,3047,2830,2327,0,0,881,1610,1969,1859,1914,1373,1237,19047,Circulation,2020,Brighton Park,
223,POINT (-87.74730500000001 41.895019),4856 W. Chicago Ave.,Chicago,60651,703,713,412,0,0,207,345,284,298,338,236,138,3674,Circulation,2020,West Chicago Avenue,
224,POINT (-87.705179 41.849599),2311 S. Kedzie Ave.,Chicago,60623,2862,2444,1659,0,0,855,1144,1347,1602,1445,1132,1136,15626,Circulation,2020,Little Village,
225,POINT (-87.670434 41.940599),1659 W. Melrose St.,Chicago,60657,14013,13412,9198,0,12,7628,10263,9744,10462,11492,9859,9305,105388,Circulation,2020,Lincoln Belmont,
226,POINT (-87.694138 41.793722),2807 W. 55th St.,Chicago,60632,1254,1233,727,0,0,0,0,0,0,0,0,0,3214,Circulation,2020,Gage Park,
227,POINT (-87.690175 42.00536),6800 N. Western Ave.,Chicago,60645,10481,9613,7569,19,0,6868,10675,10285,9867,10236,9692,9492,94797,Circulation,2020,Northtown,
228,POINT (-87.813899 41.94331),7455 W. Cornelia Ave.,Chicago,60634,3769,3407,3017,0,0,2675,3465,3218,2786,2978,2817,2368,30500,Circulation,2020,Dunning,
229,POINT (-87.66074 41.971414),1226 W. Ainslie St.,Chicago,60640,8134,7405,5063,1,0,4028,6402,6339,6441,6726,5794,4218,60551,Circulation,2020,Bezazian,
230,POINT (-87.654421 41.883595),122 N. Aberdeen St.,Chicago,60607,5153,4618,2853,0,0,2238,3442,3858,3322,4115,3678,3434,36711,Circulation,2020,West Loop,
231,POINT (-87.618295 41.694366),11001 S. Indiana Ave.,Chicago,60628,840,716,551,0,0,204,375,249,16,0,222,195,3368,Circulation,2020,Pullman,
232,POINT (-87.565489 41.713513),2401 E. 100th St.,Chicago,60617,662,500,482,0,0,278,454,381,373,393,277,291,4091,Circulation,2020,Jeffery Manor,
233,POINT (-87.622776 41.807273),4801 S. Michigan Ave.,Chicago,60615,1249,1108,990,0,0,749,945,823,903,868,70,0,7705,Circulation,2020,Hall,
234,POINT (-87.700878 41.692925),11010 S. Kedzie Ave.,Chicago,60655,4603,3804,3015,0,0,2467,3297,3308,3425,3364,3317,2807,33407,Circulation,2020,Mount Greenwood,
235,POINT (-87.60684900000001 41.780405),731 E. 63rd St.,Chicago,60637,1747,1750,1032,0,0,727,923,1061,1015,888,798,836,10777,Circulation,2020,Coleman,
236,POINT (-87.779388 41.953025),6100 W. Irving Park Rd.,Chicago,60634,7877,7175,4749,0,0,4077,6122,5898,6365,5869,4495,4077,56704,Circulation,2020,Austin-Irving,
237,POINT (-87.643122 41.72067400000001),9525 S. Halsted St.,Chicago,60628,4587,4162,3034,0,10,1292,2022,2011,2187,2387,1802,1779,25273,Circulation,2020,Woodson Regional Library,
238,POINT (-87.65393 41.757373),7506 S. Racine Ave.,Chicago,60620,1485,1471,872,0,0,480,804,807,1008,1054,815,777,9573,Circulation,2020,Thurgood Marshall,
239,POINT (-87.626436 41.828152),3647 S. State St.,Chicago,60609,749,728,537,0,0,384,594,588,750,657,498,550,6035,Circulation,2020,Chicago Bee,
240,POINT (-87.533513 41.70272),3710 E. 106th St.,Chicago,60617,986,2091,1792,0,0,713,1343,1454,1246,1356,1578,1126,13685,Circulation,2020,Vodak-East Side,
241,POINT (-87.65487 41.794843),5440 S. Racine Ave.,Chicago,60609,411,521,373,0,0,117,202,223,209,129,302,188,2675,Circulation,2020,Sherman Park,
242,POINT (-87.674251 41.692445),11071 S. Hoyne Ave.,Chicago,60643,0,0,0,0,0,0,147,547,480,765,263,404,2606,Visitors,2020,Walker,
243,POINT (-87.713595 41.975693),3401 W. Foster Ave.,Chicago,60625,9878,9473,5077,0,0,3188,4156,4566,4295,4272,3727,3567,52199,Visitors,2020,Albany Park,
244,POINT (-87.585869 41.746322),8148 S. Stony Island Ave.,Chicago,60617,8908,7616,4437,0,0,2713,3939,4140,3933,3899,3575,2083,45243,Visitors,2020,Avalon,
245,POINT (-87.657726 41.732282),1350 W. 89th St.,Chicago,60620,2455,2279,1522,0,0,707,494,600,686,726,559,580,10608,Visitors,2020,Brainerd,
246,POINT (-87.813329 41.978015),7454 W. Balmoral Ave.,Chicago,60656,7781,6343,3920,0,0,1616,2382,2927,3467,3263,3626,3289,38614,Visitors,2020,Oriole Park,
247,POINT (-87.660263 41.869359),1336 W. Taylor St.,Chicago,60607,10850,10504,3401,0,0,2996,3099,2300,2087,1240,2886,1570,40933,Visitors,2020,Little Italy,
248,POINT (-87.762043 41.997245),5331 W. Devon Ave.,Chicago,60646,7485,6533,4488,0,0,3775,5091,4750,4749,4559,2329,3798,47557,Visitors,2020,Edgebrook,
249,POINT (-87.637516 41.78199),6151 S. Normal Blvd.,Chicago,60621,5448,5301,3274,0,0,360,610,857,736,814,664,582,18646,Visitors,2020,Kelly,
250,POINT (-87.660344 41.990916),6000 N. Broadway St.,Chicago,60660,15208,13339,16636,0,0,5031,7816,7342,5542,8189,5950,6397,91450,Visitors,2020,Edgewater,
251,POINT (-87.636644 41.903838),310 W. Division St.,Chicago,60610,10765,9489,6197,0,0,4539,6207,6005,6181,6109,4796,4860,65148,Visitors,2020,Near North,
252,POINT (-87.642569 41.81627),642 W. 43rd St.,Chicago,60609,2493,2555,1355,0,0,0,0,0,0,0,0,0,6403,Visitors,2020,Canaryville,
253,POINT (-87.646149 41.8327),3400 S. Halsted St.,Chicago,60608,4565,4210,2989,0,0,1503,1887,2104,2298,2744,2211,1559,26070,Visitors,2020,"Daley, Richard J.",
254,POINT (-87.679091 41.881026),6 S. Hoyne Ave.,Chicago,60612,7161,6683,0,0,0,0,0,0,0,0,0,0,13844,Visitors,2020,Manning,
255,POINT (-87.754875 41.938748),5108 W. Belmont Ave.,Chicago,60641,5365,5073,6851,0,0,1662,2497,3058,3013,3049,2182,2357,35107,Visitors,2020,Portage-Cragin,
256,POINT (-87.643122 41.72067400000001),9525 S. Halsted St.,Chicago,60628,16492,16461,14015,0,0,2238,4817,5088,5260,5900,4322,3773,78366,Visitors,2020,Woodson Regional Library,
257,POINT (-87.600377 41.762277),1000 E. 73rd St.,Chicago,60619,4210,3399,2046,0,0,673,1085,1150,1280,1521,1128,1043,17535,Visitors,2020,Greater Grand Crossing,
258,POINT (-87.724291 41.749388),4101 W. 79th St.,Chicago,60652,3190,3210,2501,0,0,1742,2531,2536,2210,2710,1835,1935,24400,Visitors,2020,Scottsdale,
259,POINT (-87.602139 41.653968),13281 S. Corliss Ave.,Chicago,60827,2730,1809,1127,0,0,0,0,0,0,0,0,0,5666,Visitors,2020,Altgeld,
260,POINT (-87.654421 41.883595),122 N. Aberdeen St.,Chicago,60607,7440,6686,3575,0,0,2387,3372,3462,2902,3051,2424,2568,37867,Visitors,2020,West Loop,
261,POINT (-87.677601 41.808523),2111 W. 47th St.,Chicago,60609,3226,3246,1848,0,0,1643,1652,1810,1820,1870,1503,1398,20016,Visitors,2020,Back of the Yards,
262,POINT (-87.67344 42.006673),6907 N. Clark St.,Chicago,60626,11997,11407,6878,0,0,4655,7428,7724,9067,8118,3129,5314,75717,Visitors,2020,Rogers Park,
263,POINT (-87.780098 41.792854),6348 S. Archer Ave.,Chicago,60638,5282,4928,3215,0,0,2448,2899,2941,2865,2957,2413,2337,32285,Visitors,2020,Garfield Ridge,
264,POINT (-87.61733500000001 41.832238000000004),3436 S. King Dr.,Chicago,60616,2904,3518,1960,0,0,65,1260,1438,1588,1585,1290,1294,16902,Visitors,2020,King,
265,POINT (-87.785858 41.936833),3104 N. Narragansett Ave.,Chicago,60634,3816,4175,7177,0,0,1076,2310,2471,2451,3088,2186,1979,30729,Visitors,2020,West Belmont,
266,POINT (-87.706545 41.89433),733 N. Kedzie Ave.,Chicago,60612,10899,11767,7358,0,0,5363,5653,5363,6430,7365,6105,6099,72402,Visitors,2020,"Daley, Richard M.",
267,POINT (-87.705655 41.910536),1605 N. Troy St.,Chicago,60647,4846,4760,6954,0,0,947,2441,3156,3432,4809,3148,2786,37279,Visitors,2020,Humboldt Park,
268,POINT (-87.684637 41.962677),4455 N. Lincoln Ave.,Chicago,60625,29483,27624,14313,0,0,9709,14281,14330,14172,15367,12640,13600,165519,Visitors,2020,Sulzer Regional Library,
269,POINT (-87.590213 41.80762),4904 S. Lake Park Ave.,Chicago,60615,7216,6828,3628,0,0,309,0,0,0,0,140,1954,20075,Visitors,2020,Blackstone,
270,POINT (-87.768878 41.909401),5724 W. North Ave.,Chicago,60639,3864,3893,1597,0,0,594,1260,1528,1448,1403,1192,1128,17907,Visitors,2020,North Austin,
271,POINT (-87.61416 41.751132),415 East 79th St.,Chicago,60619,8004,7119,10619,0,0,1010,1639,2376,2541,1505,1988,1330,38131,Visitors,2020,"Whitney M. Young, Jr.",
272,POINT (-87.696439 41.983843),5630 N. Lincoln Ave.,Chicago,60659,10069,9802,8101,0,0,3299,5719,6141,5455,5560,5100,5095,64341,Visitors,2020,Budlong Woods,
273,POINT (-87.658126 41.925316),1150 W. Fullerton Ave.,Chicago,60614,11563,11031,13002,0,0,4139,5547,5466,4993,6030,4960,5009,71740,Visitors,2020,Lincoln Park,
274,POINT (-87.723756 41.778629),4020 W. 63rd St.,Chicago,60629,4880,4682,3255,0,0,538,891,1288,1391,1548,1055,1041,20569,Visitors,2020,West Lawn,
275,POINT (-87.726723 41.801206),5055 S. Archer Ave.,Chicago,60632,6620,5803,4045,0,0,2697,3767,3754,3737,3999,3198,3229,40849,Visitors,2020,Archer Heights,
276,POINT (-87.548914 41.65915300000001),3048 E. 130th St.,Chicago,60633,3017,2785,2064,0,0,1378,1832,1857,1698,1998,961,1332,18922,Visitors,2020,Hegewisch,
277,POINT (-87.719889 41.954219),4024 N. Elston Ave.,Chicago,60618,5491,5189,2275,0,0,1965,2776,2622,2865,2998,2025,1716,29922,Visitors,2020,Independence,
278,POINT (-87.661298 41.857604),1805 S. Loomis St.,Chicago,60608,10498,9411,6806,0,0,1945,3316,3001,3204,4051,3390,2148,47770,Visitors,2020,Lozano,
279,POINT (-87.563672 41.762654),2505 E. 73rd St.,Chicago,60649,0,0,0,0,0,0,389,1086,1097,1262,894,387,5115,Visitors,2020,South Shore,
280,POINT (-87.631794 41.854267),2100 S. Wentworth Ave.,Chicago,60616,19325,14701,10222,0,0,1884,3375,4147,4159,4854,3129,3176,68972,Visitors,2020,Chinatown,
281,POINT (-87.709792 41.864527),3353 W. 13th St.,Chicago,60623,0,0,0,0,0,388,1230,756,568,919,663,512,5036,Visitors,2020,Douglass,
282,POINT (-87.703483 41.924806),3030 W. Fullerton Ave.,Chicago,60647,12501,11545,6711,0,0,4243,6795,8731,7027,0,4890,6146,68589,Visitors,2020,Logan Square,
283,POINT (-87.798265 41.991862),6083 N. Northwest Hwy.,Chicago,60631,736,3742,5078,0,0,2337,3306,1621,2654,3238,2448,2791,27951,Visitors,2020,Roden,
284,POINT (-87.79846800000001 41.921134),6871 W. Belden Ave.,Chicago,60707,1591,1375,634,0,0,0,0,0,0,0,0,0,3600,Visitors,2020,Galewood-Mont Clare,
285,POINT (-87.74730500000001 41.895019),4856 W. Chicago Ave.,Chicago,60651,7252,5970,3967,0,0,542,832,873,851,835,620,595,22337,Visitors,2020,West Chicago Avenue,
286,POINT (-87.680298 41.912224),1701 N. Milwaukee Ave.,Chicago,60647,10699,9981,5663,0,0,2034,3654,4991,4948,5154,4552,4813,56489,Visitors,2020,Bucktown-Wicker Park,
287,POINT (-87.733923 41.909856),4300 W. North Ave.,Chicago,60639,3209,2994,2029,0,0,444,1013,2274,2178,2259,1795,1567,19762,Visitors,2020,North Pulaski,
288,POINT (-87.67345 41.830421),1915 W. 35th St.,Chicago,60609,6531,5301,3513,0,0,3604,4401,4118,4015,3820,2851,610,38764,Visitors,2020,McKinley Park,
289,POINT (-87.668233 41.89606),1625 W. Chicago Ave.,Chicago,60622,9179,8264,5392,0,0,3076,3349,1767,5587,6650,4183,3107,50554,Visitors,2020,West Town,
290,POINT (-87.672288 41.721148),1962 W. 95th St.,Chicago,60643,2881,2843,1537,0,0,1119,1360,2003,1442,1753,1348,1136,17422,Visitors,2020,Beverly,
291,POINT (-87.725593 41.879302),115 S. Pulaski Rd.,Chicago,60624,0,0,0,0,0,0,0,0,0,0,0,108,108,Visitors,2020,Legler Regional,
292,POINT (-87.724477 41.842073),2708 S. Pulaski Rd.,Chicago,60623,4196,4295,3589,0,0,1121,2017,1956,1780,2010,1526,1267,23757,Visitors,2020,Toman,
293,POINT (-87.766942 41.889281),5615 W. Race Ave.,Chicago,60644,9335,9562,5390,0,0,1838,3614,4584,4122,3932,3152,2923,48452,Visitors,2020,Austin,
294,POINT (-87.761964 41.967648),5363 W. Lawrence Ave.,Chicago,60630,5270,4718,2997,0,0,2835,3551,2569,2661,3458,2832,2452,33343,Visitors,2020,Jefferson Park,
295,POINT (-87.738158 41.96815),4400 W. Lawrence Ave.,Chicago,60630,3412,2898,2123,0,0,696,1393,1833,1751,1971,1530,1348,18955,Visitors,2020,Mayfair,
296,POINT (-87.549849 41.730371),9055 S. Houston Ave.,Chicago,60617,6489,6023,3457,0,0,2055,2827,3213,3161,3210,2064,0,32499,Visitors,2020,South Chicago,
297,POINT (-87.782282 41.7768),6423 W. 63rd Pl.,Chicago,60638,4334,4137,3327,0,0,3125,3251,3085,2800,2300,2035,1894,30288,Visitors,2020,Clearing,
298,POINT (-87.646055 41.940054),644 W. Belmont Ave.,Chicago,60657,0,0,0,0,0,0,0,0,0,0,0,0,0,Visitors,2020,Merlo,
299,POINT (-87.654217 41.95846),929 W. Buena Ave.,Chicago,60613,10289,10115,6286,0,0,3292,4855,4682,4650,5061,3941,4365,57536,Visitors,2020,Uptown,
300,POINT (-87.703231 41.781967),6120 S. Kedzie Ave.,Chicago,60629,2301,5013,3568,0,0,1905,3726,3706,2917,3224,2730,2529,31619,Visitors,2020,Chicago Lawn,
301,POINT (-87.627695 41.876301),400 S. State St.,Chicago,60605,104255,102202,75066,0,0,23673,36325,35144,44570,51962,40119,41058,554374,Visitors,2020,Harold Washtington Library Center,
302,POINT (-87.703067 41.814848),4314 S. Archer Ave.,Chicago,60632,3894,3562,2639,0,0,561,1346,1323,1174,1638,1194,1139,18470,Visitors,2020,Brighton Park,
303,POINT (-87.66821 41.779364),1745 W. 63rd St.,Chicago,60636,5207,4909,3212,0,0,1557,2192,2483,2437,2533,1836,1810,28176,Visitors,2020,West Englewood,
304,POINT (-87.705179 41.849599),2311 S. Kedzie Ave.,Chicago,60623,5288,4917,3508,0,0,614,1443,1652,1762,1893,1430,1332,23839,Visitors,2020,Little Village,
305,POINT (-87.670434 41.940599),1659 W. Melrose St.,Chicago,60657,12707,11844,6818,0,0,4330,5711,4372,3794,2242,3484,2436,57738,Visitors,2020,Lincoln Belmont,
306,POINT (-87.694138 41.793722),2807 W. 55th St.,Chicago,60632,2058,1942,1311,0,0,0,0,0,0,0,0,0,5311,Visitors,2020,Gage Park,
307,POINT (-87.690175 42.00536),6800 N. Western Ave.,Chicago,60645,0,13474,7864,0,0,5612,9002,9342,9046,7657,5881,6184,74062,Visitors,2020,Northtown,
308,POINT (-87.813899 41.94331),7455 W. Cornelia Ave.,Chicago,60634,7328,7572,4237,0,0,3678,4873,6846,6185,5341,4086,4224,54370,Visitors,2020,Dunning,
309,POINT (-87.66074 41.971414),1226 W. Ainslie St.,Chicago,60640,9959,9130,6567,0,0,2147,2596,2802,2700,2787,2265,413,41366,Visitors,2020,Bezazian,
310,POINT (-87.64332700000001 41.677819),830 W. 119th St.,Chicago,60643,8338,7884,7611,0,0,649,1267,1529,1673,1966,1184,1160,33261,Visitors,2020,West Pullman,
311,POINT (-87.618295 41.694366),11001 S. Indiana Ave.,Chicago,60628,3775,3410,2215,0,0,725,2492,1654,0,0,1149,1729,17149,Visitors,2020,Pullman,
312,POINT (-87.565489 41.713513),2401 E. 100th St.,Chicago,60617,3563,3191,2427,0,0,2145,2561,2678,3099,2876,1811,1697,26048,Visitors,2020,Jeffery Manor,
313,POINT (-87.622776 41.807273),4801 S. Michigan Ave.,Chicago,60615,4885,4729,6570,0,0,2322,2951,2806,2718,2974,406,0,30361,Visitors,2020,Hall,
314,POINT (-87.700878 41.692925),11010 S. Kedzie Ave.,Chicago,60655,3582,2222,1233,0,0,1267,1468,1437,1387,1709,1448,1455,17208,Visitors,2020,Mount Greenwood,
315,POINT (-87.60684900000001 41.780405),731 E. 63rd St.,Chicago,60637,6541,6593,4032,0,0,2399,3196,3624,3334,3692,3370,3356,40137,Visitors,2020,Coleman,
316,POINT (-87.779388 41.953025),6100 W. Irving Park Rd.,Chicago,60634,7867,7380,4222,0,0,1972,2810,2823,5558,6360,2820,2737,44549,Visitors,2020,Austin-Irving,
317,POINT (-87.70209 41.738313),8530 S. Kedzie Ave.,Chicago,60652,3849,3526,2341,0,0,1371,1881,2190,1830,1750,1245,1355,21338,Visitors,2020,Wrightwood-Ashburn,
318,POINT (-87.65393 41.757373),7506 S. Racine Ave.,Chicago,60620,6199,7924,4089,0,0,1579,2345,3327,3186,3231,2072,2055,36007,Visitors,2020,Thurgood Marshall,
319,POINT (-87.626436 41.828152),3647 S. State St.,Chicago,60609,1905,2577,1414,0,0,527,479,540,590,612,506,523,9673,Visitors,2020,Chicago Bee,
320,POINT (-87.533513 41.70272),3710 E. 106th St.,Chicago,60617,1319,4556,3103,0,0,2814,2295,2861,1889,1849,1912,2053,24651,Visitors,2020,Vodak-East Side,
321,POINT (-87.65487 41.794843),5440 S. Racine Ave.,Chicago,60609,2698,2403,1780,0,0,1290,2118,2380,1611,755,1560,1612,18207,Visitors,2020,Sherman Park,
322,,11071 S. Hoyne Ave.,Chicago,60643,800,705,850,803,815,953,1098,914,880,1060,891,772,10541,Circulation,2021,Walker,POINT (-87.67426 41.692473)
323,,3401 W. Foster Ave.,Chicago,60625,4274,3486,5170,4864,4561,5711,5983,5675,5603,5699,5370,5238,61634,Circulation,2021,Albany Park,POINT (-87.713595 41.975693)
324,,8148 S. Stony Island Ave.,Chicago,60617,1342,1099,1241,1264,1368,1378,1242,1432,1589,1476,1355,1217,16003,Circulation,2021,Avalon,POINT (-87.585869 41.746322)
325,,1350 W. 89th St.,Chicago,60620,311,349,501,60,85,278,197,280,277,337,314,332,3321,Circulation,2021,Brainerd,POINT (-87.657726 41.732282)
326,,7454 W. Balmoral Ave.,Chicago,60656,4375,3797,4725,4339,4386,5128,5511,4719,4630,5156,4850,3057,54673,Circulation,2021,Oriole Park,POINT (-87.813329 41.978015)
327,,1336 W. Taylor St.,Chicago,60607,3978,3273,4237,3465,3835,4460,4906,4461,3842,3865,3896,3575,47793,Circulation,2021,Little Italy,POINT (-87.660263 41.869359)
328,,5331 W. Devon Ave.,Chicago,60646,6378,5498,6690,6451,5971,6744,7849,7082,6354,6003,6511,5137,76668,Circulation,2021,Edgebrook,POINT (-87.76204 41.997245)
329,,6151 S. Normal Blvd.,Chicago,60621,323,268,303,270,274,332,355,533,399,439,470,368,4334,Circulation,2021,Kelly,POINT (-87.637516 41.78199)
330,,6000 N. Broadway St.,Chicago,60660,11193,10185,11125,10500,10898,11595,11650,10854,10376,10137,9685,9539,127737,Circulation,2021,Edgewater,POINT (-87.660306 41.990923)
