,BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION,Type,Year
73,Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,4603,3804,3015,0,0,2467,3297,3308,3425,3364,3317,2807,33407,POINT (-87.700878 41.692925),Circulation,2020
74,Coleman,731 E. 63rd St.,Chicago,60637,1747,1750,1032,0,0,727,923,1061,1015,888,798,836,10777,POINT (-87.60684900000001 41.780405),Circulation,2020
75,Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,7877,7175,4749,0,0,4077,6122,5898,6365,5869,4495,4077,56704,POINT (-87.779388 41.953025),Circulation,2020
76,Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,4587,4162,3034,0,10,1292,2022,2011,2187,2387,1802,1779,25273,POINT (-87.643122 41.72067400000001),Circulation,2020
77,Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,1485,1471,872,0,0,480,804,807,1008,1054,815,777,9573,POINT (-87.65393 41.757373),Circulation,2020
78,Chicago Bee,3647 S. State St.,Chicago,60609,749,728,537,0,0,384,594,588,750,657,498,550,6035,POINT (-87.626436 41.828152),Circulation,2020
79,Vodak-East Side,3710 E. 106th St.,Chicago,60617,986,2091,1792,0,0,713,1343,1454,1246,1356,1578,1126,13685,POINT (-87.533513 41.70272),Circulation,2020
80,Sherman Park,5440 S. Racine Ave.,Chicago,60609,411,521,373,0,0,117,202,223,209,129,302,188,2675,POINT (-87.65487 41.794843),Circulation,2020
81,Walker,11071 S. Hoyne Ave.,Chicago,60643,0,0,0,0,0,0,147,547,480,765,263,404,2606,POINT (-87.674251 41.692445),Visitors,2020
82,Albany Park,3401 W. Foster Ave.,Chicago,60625,9878,9473,5077,0,0,3188,4156,4566,4295,4272,3727,3567,52199,POINT (-87.713595 41.975693),Visitors,2020
83,Avalon,8148 S. Stony Island Ave.,Chicago,60617,8908,7616,4437,0,0,2713,3939,4140,3933,3899,3575,2083,45243,POINT (-87.585869 41.746322),Visitors,2020
84,Brainerd,1350 W. 89th St.,Chicago,60620,2455,2279,1522,0,0,707,494,600,686,726,559,580,10608,POINT (-87.657726 41.732282),Visitors,2020
85,Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,7781,6343,3920,0,0,1616,2382,2927,3467,3263,3626,3289,38614,POINT (-87.813329 41.978015),Visitors,2020
86,Little Italy,1336 W. Taylor St.,Chicago,60607,10850,10504,3401,0,0,2996,3099,2300,2087,1240,2886,1570,40933,POINT (-87.660263 41.869359),Visitors,2020
87,Edgebrook,5331 W. Devon Ave.,Chicago,60646,7485,6533,4488,0,0,3775,5091,4750,4749,4559,2329,3798,47557,POINT (-87.762043 41.997245),Visitors,2020
88,Kelly,6151 S. Normal Blvd.,Chicago,60621,5448,5301,3274,0,0,360,610,857,736,814,664,582,18646,POINT (-87.637516 41.78199),Visitors,2020
89,Edgewater,6000 N. Broadway St.,Chicago,60660,15208,13339,16636,0,0,5031,7816,7342,5542,8189,5950,6397,91450,POINT (-87.660344 41.990916),Visitors,2020
90,Near North,310 W. Division St.,Chicago,60610,10765,9489,6197,0,0,4539,6207,6005,6181,6109,4796,4860,65148,POINT (-87.636644 41.903838),Visitors,2020
91,Canaryville,642 W. 43rd St.,Chicago,60609,2493,2555,1355,0,0,0,0,0,0,0,0,0,6403,POINT (-87.642569 41.81627),Visitors,2020
92,"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,4565,4210,2989,0,0,1503,1887,2104,2298,2744,2211,1559,26070,POINT (-87.646149 41.8327),Visitors,2020
