,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,TYPE,YEAR
75,6151 S. Normal Blvd.,Chicago,60621,1048.0,730.0,711.0,847.0,906.0,1070.0,1235.0,1117.0,932.0,862.0,825.0,833.0,11116.0,Visitors,2019
76,3436 S. King Dr.,Chicago,60616,1713.0,1464.0,1733.0,1679.0,1598.0,1813.0,1804.0,1703.0,1891.0,2171.0,1985.0,1757.0,21311.0,Circulation,2019
77,3436 S. King Dr.,Chicago,60616,1713.0,1464.0,1733.0,1679.0,1598.0,1813.0,1804.0,1703.0,1891.0,2171.0,1985.0,1757.0,21311.0,Visitors,2019
78,115 S. Pulaski Rd.,Chicago,60624,769.0,767.0,701.0,723.0,1039.0,928.0,1240.0,1281.0,1045.0,79.0,0.0,0.0,8572.0,Circulation,2019
79,115 S. Pulaski Rd.,Chicago,60624,769.0,767.0,701.0,723.0,1039.0,928.0,1240.0,1281.0,1045.0,79.0,0.0,0.0,8572.0,Visitors,2019
80,1659 W. Melrose St.,Chicago,60657,11587.0,11718.0,15218.0,14150.0,13897.0,14997.0,16318.0,16522.0,13504.0,15803.0,13617.0,11315.0,168646.0,Circulation,2019
81,1659 W. Melrose St.,Chicago,60657,11587.0,11718.0,15218.0,14150.0,13897.0,14997.0,16318.0,16522.0,13504.0,15803.0,13617.0,11315.0,168646.0,Visitors,2019
82,1150 W. Fullerton Ave.,Chicago,60614,9826.0,9336.0,11605.0,10534.0,10314.0,11653.0,12704.0,12758.0,11161.0,12329.0,11050.0,10067.0,133337.0,Circulation,2019
83,1150 W. Fullerton Ave.,Chicago,60614,9826.0,9336.0,11605.0,10534.0,10314.0,11653.0,12704.0,12758.0,11161.0,12329.0,11050.0,10067.0,133337.0,Visitors,2019
84,1336 W. Taylor St.,Chicago,60607,1088.0,3975.0,6130.0,5485.0,5717.0,6177.0,6750.0,6558.0,4983.0,5642.0,5020.0,4756.0,62281.0,Circulation,2019
85,1336 W. Taylor St.,Chicago,60607,1088.0,3975.0,6130.0,5485.0,5717.0,6177.0,6750.0,6558.0,4983.0,5642.0,5020.0,4756.0,62281.0,Visitors,2019
86,2311 S. Kedzie Ave.,Chicago,60623,2973.0,3106.0,3354.0,3732.0,3139.0,3348.0,3633.0,3547.0,3385.0,3790.0,2799.0,2474.0,39280.0,Circulation,2019
87,2311 S. Kedzie Ave.,Chicago,60623,2973.0,3106.0,3354.0,3732.0,3139.0,3348.0,3633.0,3547.0,3385.0,3790.0,2799.0,2474.0,39280.0,Visitors,2019
88,3030 W. Fullerton Ave.,Chicago,60647,10828.0,9873.0,11488.0,10770.0,11114.0,10870.0,12661.0,12090.0,10834.0,11858.0,10353.0,9206.0,131945.0,Circulation,2019
89,3030 W. Fullerton Ave.,Chicago,60647,10828.0,9873.0,11488.0,10770.0,11114.0,10870.0,12661.0,12090.0,10834.0,11858.0,10353.0,9206.0,131945.0,Visitors,2019
90,1805 S. Loomis St.,Chicago,60608,3781.0,3346.0,3974.0,3237.0,2960.0,3189.0,3781.0,4139.0,3516.0,3952.0,3273.0,2963.0,42111.0,Circulation,2019
91,1805 S. Loomis St.,Chicago,60608,3781.0,3346.0,3974.0,3237.0,2960.0,3189.0,3781.0,4139.0,3516.0,3952.0,3273.0,2963.0,42111.0,Visitors,2019
92,6 S. Hoyne Ave.,Chicago,60612,1730.0,1729.0,1758.0,1898.0,1716.0,1705.0,2130.0,2269.0,1877.0,2116.0,1800.0,1490.0,22218.0,Circulation,2019
