Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
8/13/2021,624,3,37,97,171,154,80,58,39,15,10,0,272,352,0,133,18,143,229,12,89,0,0,0,0,0,1,2,0,0,2,1,0,0,0,3,0,0,0,1,5,6,4,5,8,4,4,0,19,18,0,8,0,21,7,1,0
7/18/2020,132,4,15,13,37,25,21,19,9,5,3,0,61,71,0,44,1,47,22,3,15,0,0,0,0,1,1,1,1,0,2,2,0,2,0,0,2,0,0,0,1,0,1,2,2,7,2,0,8,7,0,1,0,11,2,0,1
11/30/2020,2389,23,123,282,557,500,370,319,199,98,64,0,1270,1116,3,964,97,427,535,92,274,0,0,0,2,2,4,10,5,0,10,13,0,6,1,7,8,1,0,3,14,10,10,15,21,29,21,0,67,56,0,39,11,42,27,3,1
1/6/2021,1459,13,66,191,417,298,204,154,107,64,24,0,756,695,8,483,61,298,433,52,132,0,0,0,0,2,5,1,5,0,6,7,0,3,2,4,3,1,0,1,3,5,5,10,13,15,14,0,26,40,0,20,3,25,15,0,3
4/16/2021,656,6,57,109,188,126,94,67,47,13,12,0,377,279,0,180,24,231,139,14,68,0,0,0,0,2,2,0,2,0,2,4,0,1,0,3,1,0,1,0,8,5,6,13,15,7,3,0,35,22,0,11,0,36,7,1,2
8/14/2021,407,6,44,78,102,100,49,33,29,12,4,0,217,189,1,100,15,102,127,11,52,0,0,1,0,1,4,0,0,0,2,4,0,0,0,5,1,0,0,1,4,6,4,16,6,7,0,0,22,22,0,12,0,18,12,2,0
7/9/2020,288,8,29,27,93,58,41,34,23,7,5,0,136,152,0,87,4,91,73,6,27,0,0,0,0,1,2,5,0,0,4,4,0,3,0,3,2,0,0,0,4,3,2,10,5,3,2,0,13,16,0,7,2,15,4,0,1
10/16/2021,178,4,24,31,40,26,31,18,19,11,2,0,85,93,0,29,6,48,65,19,11,0,0,0,0,1,1,1,1,0,3,1,0,1,0,2,1,0,0,0,5,2,1,6,4,5,1,0,12,12,0,6,1,10,5,1,1
11/26/2020,265,22,103,22,48,36,38,34,36,31,19,1,132,132,1,70,6,97,58,15,19,0,0,0,1,1,2,9,9,0,11,11,0,10,1,8,3,0,0,2,5,10,15,16,16,24,15,0,56,47,0,37,1,45,15,4,1
10/18/2020,347,1,48,30,84,90,58,43,21,16,5,0,172,174,1,82,14,61,145,11,34,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,6,3,7,7,9,10,5,0,21,27,0,19,0,12,15,2,0
9/9/2020,400,5,21,41,132,74,54,46,37,11,5,0,217,183,0,207,13,59,96,9,16,0,0,0,0,1,1,2,1,0,4,1,0,5,0,0,0,0,0,0,1,0,5,4,3,6,2,0,11,10,0,9,1,6,3,1,1
9/14/2020,430,3,19,62,108,91,66,59,27,9,8,0,226,203,1,208,11,67,112,8,24,0,0,0,0,1,0,1,1,0,1,2,0,3,0,0,0,0,0,1,3,1,3,3,3,3,2,0,7,12,0,7,0,8,4,0,0
2/18/2021,315,6,36,36,98,52,50,42,25,10,2,0,163,151,1,105,9,62,94,22,23,0,0,0,0,1,0,5,0,0,4,2,0,0,0,4,2,0,0,0,2,6,4,8,7,8,1,0,20,16,0,11,0,16,7,2,0
7/25/2021,141,3,13,19,43,34,18,13,6,6,2,0,78,62,1,15,9,45,46,8,18,0,0,1,1,1,0,0,0,0,1,2,0,0,0,2,1,0,0,0,1,2,2,2,2,3,1,0,6,7,0,2,0,7,3,0,1
12/22/2021,7045,18,151,974,2140,1702,971,646,395,136,81,0,3907,3074,64,970,223,1894,1941,659,1358,0,0,1,0,1,3,4,9,0,10,8,0,2,0,10,6,0,0,10,17,21,21,21,22,18,21,0,80,71,0,24,3,89,28,3,4
9/15/2020,352,1,21,54,100,67,47,42,26,13,3,0,189,163,0,168,9,50,96,10,19,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,4,5,3,4,3,0,10,11,0,8,1,7,5,0,0
4/18/2020,535,39,161,13,89,101,96,90,81,44,21,0,247,288,0,221,19,168,65,18,44,0,0,0,3,4,8,12,12,0,20,19,0,12,5,20,2,0,0,1,7,17,19,37,38,27,15,0,60,101,0,55,3,73,22,7,1
5/30/2021,52,7,10,7,15,11,6,6,7,0,0,0,23,29,0,18,0,18,9,1,6,0,0,0,0,1,1,3,2,0,3,4,0,1,0,5,1,0,0,1,0,0,3,1,4,0,1,0,7,3,0,2,0,6,2,0,0
7/2/2021,55,1,6,5,11,10,13,6,7,3,0,0,33,22,0,10,2,14,19,5,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,6,0,0,0,0,6,0,0,0
6/11/2021,39,2,14,6,12,6,6,2,3,3,1,0,18,21,0,14,2,11,8,0,4,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,1,0,3,1,1,6,1,1,0,7,7,0,3,0,9,1,0,1
7/28/2021,348,3,29,41,107,91,50,36,11,10,2,0,173,174,1,72,16,91,98,14,57,0,0,0,1,0,1,1,0,0,1,2,0,1,0,2,0,0,0,1,4,5,6,7,2,4,0,0,13,16,0,5,0,18,6,0,0
1/29/2022,528,16,24,126,86,102,69,49,56,24,14,2,272,253,3,127,41,80,167,22,91,0,0,0,0,2,3,6,5,0,6,10,0,2,1,8,5,0,0,1,1,5,3,3,5,5,1,0,15,9,0,1,1,12,6,2,2
9/4/2020,395,2,23,61,102,82,53,38,33,16,10,0,205,188,2,193,12,71,94,9,16,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,3,1,4,3,2,4,6,0,16,7,0,10,1,9,3,0,0
11/25/2020,1834,17,110,260,432,354,257,237,165,84,45,0,970,858,6,654,54,361,410,83,272,0,0,1,1,0,3,6,6,0,4,13,0,8,0,4,5,0,0,2,7,8,11,19,26,17,20,0,57,53,0,38,5,33,26,6,2
6/20/2020,125,10,20,18,32,18,21,19,5,9,3,0,65,60,0,70,1,17,19,6,12,0,0,1,0,2,2,1,4,0,3,7,0,8,0,1,1,0,0,3,3,3,1,3,3,1,3,0,11,9,0,11,0,6,2,0,1
11/8/2020,1105,11,109,123,269,236,177,142,87,44,27,0,553,551,1,366,32,192,358,58,99,0,1,0,0,1,3,3,3,0,0,11,0,6,0,4,1,0,0,6,9,3,14,23,17,23,14,0,57,52,0,44,4,41,17,3,0
12/24/2020,620,21,49,69,128,129,82,85,66,32,29,0,304,312,4,171,29,113,206,27,74,0,0,0,0,0,7,5,9,0,8,13,0,6,2,9,4,0,0,2,1,3,8,6,9,8,12,0,23,26,0,15,2,17,14,1,0
12/5/2021,516,8,61,106,98,93,80,60,47,20,12,0,267,247,2,96,17,114,146,61,82,0,1,0,0,2,1,1,3,0,3,5,0,1,0,3,4,0,0,1,2,7,6,10,10,14,11,0,29,32,0,9,2,25,20,1,4
1/15/2022,1598,26,120,321,315,287,211,168,167,83,45,1,819,774,5,421,104,264,392,101,316,0,0,0,1,1,6,6,12,0,8,18,0,5,2,15,4,0,0,1,12,10,10,16,26,25,19,1,65,55,0,25,5,47,30,3,10
7/20/2020,394,5,25,53,95,90,55,47,36,14,4,0,198,192,4,178,11,95,77,10,23,0,0,1,1,0,2,1,0,0,2,3,0,3,0,1,1,0,0,1,2,3,3,3,7,5,1,0,17,8,0,9,0,14,2,0,0
